id,class,subject,topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
1,6,Mathematics,Numbers,easy,"What is the predecessor of 10000?",9999,10001,9990,9900,A,"The predecessor of a number is the one that comes just before it. 10000 - 1 = 9999."
2,6,Mathematics,Numbers,easy,"What is the Roman numeral for 50?",C,D,L,M,C,"In the Roman numeral system, L represents 50."
3,6,Mathematics,Geometry,easy,"An angle that is exactly 90 degrees is called a _____ angle.",Acute,Obtuse,Right,Straight,C,"A right angle is an angle of exactly 90°."
4,6,Mathematics,Geometry,medium,"What is the perimeter of a rectangle with length 10 cm and width 5 cm?",15 cm,25 cm,30 cm,50 cm,C,"Perimeter of a rectangle = 2 * (length + width) = 2 * (10 + 5) = 30 cm."
5,6,Mathematics,Algebra,medium,"If x - 7 = 15, what is the value of x?",8,12,22,25,C,"To find x, add 7 to both sides of the equation: x = 15 + 7 = 22."
6,6,Mathematics,Statistics,easy,"The data collected directly from the source is known as _____ data.",Secondary,Primary,Raw,Grouped,B,"Primary data is the data collected for the first time by the researcher."
7,6,Mathematics,Numbers,medium,"What is the HCF (Highest Common Factor) of 12 and 18?",3,4,6,9,C,"The factors of 12 are 1, 2, 3, 4, 6, 12. The factors of 18 are 1, 2, 3, 6, 9, 18. The highest common factor is 6."
8,6,Mathematics,Geometry,easy,"A triangle with all three sides of equal length is called _____.",Isosceles,Scalene,Right-angled,Equilateral,D,"An equilateral triangle has all three sides equal and all three angles equal to 60 degrees."
9,6,Mathematics,Measurements,medium,"How many milliliters are in 2.5 liters?",250 ml,2500 ml,25 ml,25000 ml,B,"1 liter = 1000 milliliters. So, 2.5 liters = 2.5 * 1000 = 2500 ml."
10,6,Mathematics,Numbers,hard,"What is the smallest 4-digit number that is exactly divisible by 3?",1000,1001,1002,1003,C,"A number is divisible by 3 if the sum of its digits is divisible by 3. 1+0+0+2=3, which is divisible by 3."
11,6,Science,Biology - Food,easy,"Which of these is a source of carbohydrates?",Oil,Pulses,Rice,Fruits,C,"Rice is a staple food rich in carbohydrates, which provide energy."
12,6,Science,Biology - Components of Food,easy,"Deficiency of Vitamin C causes which disease?",Rickets,Scurvy,Beriberi,Goitre,B,"Scurvy is a disease resulting from a lack of Vitamin C, characterized by swollen bleeding gums."
13,6,Science,Chemistry - Materials,medium,"Which of the following materials is transparent?",Wood,Stone,Glass,Metal,C,"Transparent materials, like glass, allow light to pass through them completely."
14,6,Science,Physics - Magnets,easy,"Which of these is a magnetic material?",Plastic,Wood,Iron,Rubber,C,"Iron is a ferromagnetic material, meaning it is strongly attracted to magnets."
15,6,Science,Biology - Living Organisms,medium,"The process by which plants make their own food is called _____.",Respiration,Photosynthesis,Transpiration,Pollination,B,"Photosynthesis is the process used by plants to convert light energy into chemical energy."
